CBM_Type,Training_Mode,Alpha,k,Run,Leakage,Warning,num_sim,n,d
soft,joint,0.01,25,1,0.051338021002804046,False,15,10000,1000
soft,joint,0.01,25,2,0.09613552545825033,False,15,10000,1000
soft,joint,0.01,25,3,0.05803350241616312,False,15,10000,1000
soft,joint,0.01,25,4,0.07519025306094851,False,15,10000,1000
soft,joint,0.01,25,5,0.07219145828867335,False,15,10000,1000
soft,joint,0.01,25,6,0.08328542663763128,False,15,10000,1000
soft,joint,0.01,25,7,0.08344505053161666,False,15,10000,1000
soft,joint,0.01,25,8,0.02835641630290109,False,15,10000,1000
soft,joint,0.01,25,9,0.07258536008538541,False,15,10000,1000
soft,joint,0.01,25,10,0.09037373749161803,False,15,10000,1000
soft,joint,0.01,25,11,0.0868008970950791,False,15,10000,1000
soft,joint,0.01,25,12,0.05595825535053689,False,15,10000,1000
soft,joint,0.01,25,13,0.09395482399299904,False,15,10000,1000
soft,joint,0.01,25,14,0.07788939506827619,False,15,10000,1000
soft,joint,0.01,25,15,0.04953036472335448,False,15,10000,1000
soft,joint,0.01,50,1,0.04672699741695796,False,15,10000,1000
soft,joint,0.01,50,2,0.0966743115129105,False,15,10000,1000
soft,joint,0.01,50,3,0.09588969998725116,False,15,10000,1000
soft,joint,0.01,50,4,0.07801675189443613,False,15,10000,1000
soft,joint,0.01,50,5,0.08334850391570758,False,15,10000,1000
soft,joint,0.01,50,6,0.07496350674316998,False,15,10000,1000
soft,joint,0.01,50,7,0.08593752212271544,False,15,10000,1000
soft,joint,0.01,50,8,0.10628499902252764,False,15,10000,1000
soft,joint,0.01,50,9,0.07505024384376524,False,15,10000,1000
soft,joint,0.01,50,10,0.08608802542383631,False,15,10000,1000
soft,joint,0.01,50,11,0.05249792428237021,False,15,10000,1000
soft,joint,0.01,50,12,0.08350175493236955,False,15,10000,1000
soft,joint,0.01,50,13,0.09173007649752485,False,15,10000,1000
soft,joint,0.01,50,14,0.08288553200214266,False,15,10000,1000
soft,joint,0.01,50,15,0.10258355690497356,False,15,10000,1000
soft,joint,0.01,75,1,0.07921565603596759,False,15,10000,1000
soft,joint,0.01,75,2,0.037566043045589526,False,15,10000,1000
soft,joint,0.01,75,3,0.09361988168589486,False,15,10000,1000
soft,joint,0.01,75,4,0.08480591113101887,False,15,10000,1000
soft,joint,0.01,75,5,0.060468427759830634,False,15,10000,1000
soft,joint,0.01,75,6,0.07599902863345176,False,15,10000,1000
soft,joint,0.01,75,7,0.08298756801529716,False,15,10000,1000
soft,joint,0.01,75,8,0.07450283080396125,False,15,10000,1000
soft,joint,0.01,75,9,0.06063249344029442,False,15,10000,1000
soft,joint,0.01,75,10,0.08574396259613182,False,15,10000,1000
soft,joint,0.01,75,11,0.05941548676459196,False,15,10000,1000
soft,joint,0.01,75,12,0.07144163907905532,False,15,10000,1000
soft,joint,0.01,75,13,0.06165159087927519,False,15,10000,1000
soft,joint,0.01,75,14,0.08064488378645485,False,15,10000,1000
soft,joint,0.01,75,15,0.08005087741833528,False,15,10000,1000
soft,joint,0.01,100,1,0.07095284404452307,False,15,10000,1000
soft,joint,0.01,100,2,0.051082580579882686,False,15,10000,1000
soft,joint,0.01,100,3,0.07794077379071829,False,15,10000,1000
soft,joint,0.01,100,4,0.08662330095257742,False,15,10000,1000
soft,joint,0.01,100,5,0.07911808043202884,False,15,10000,1000
soft,joint,0.01,100,6,0.07335718504144495,False,15,10000,1000
soft,joint,0.01,100,7,0.0719261901530297,False,15,10000,1000
soft,joint,0.01,100,8,0.07785954999545108,False,15,10000,1000
soft,joint,0.01,100,9,0.07452865913011952,False,15,10000,1000
soft,joint,0.01,100,10,0.08586432335351457,False,15,10000,1000
soft,joint,0.01,100,11,0.09986020678872154,False,15,10000,1000
soft,joint,0.01,100,12,0.0775159926682707,False,15,10000,1000
soft,joint,0.01,100,13,0.09142357605961116,False,15,10000,1000
soft,joint,0.01,100,14,0.08256607385466586,False,15,10000,1000
soft,joint,0.01,100,15,0.060451222648363334,False,15,10000,1000
soft,joint,0.01,125,1,0.08111470250299813,False,15,10000,1000
soft,joint,0.01,125,2,0.0790187220158931,False,15,10000,1000
soft,joint,0.01,125,3,0.08873691936668049,False,15,10000,1000
soft,joint,0.01,125,4,0.0830302167534771,False,15,10000,1000
soft,joint,0.01,125,5,0.05682767303956693,False,15,10000,1000
soft,joint,0.01,125,6,0.07753463773608082,False,15,10000,1000
soft,joint,0.01,125,7,0.08401812098645522,False,15,10000,1000
soft,joint,0.01,125,8,0.08366690753049744,False,15,10000,1000
soft,joint,0.01,125,9,0.08214019293268815,False,15,10000,1000
soft,joint,0.01,125,10,0.08221860843111939,False,15,10000,1000
soft,joint,0.01,125,11,0.08418734307538034,False,15,10000,1000
soft,joint,0.01,125,12,0.08690643631491457,False,15,10000,1000
soft,joint,0.01,125,13,0.07748334003943147,False,15,10000,1000
soft,joint,0.01,125,14,0.07461177944032471,False,15,10000,1000
soft,joint,0.01,125,15,0.0753319850399321,False,15,10000,1000
soft,joint,0.01,150,1,0.07727823101041076,False,15,10000,1000
soft,joint,0.01,150,2,0.10149518392128076,False,15,10000,1000
soft,joint,0.01,150,3,0.06249960638217078,False,15,10000,1000
soft,joint,0.01,150,4,0.08035284886962035,False,15,10000,1000
soft,joint,0.01,150,5,0.09615400133632335,False,15,10000,1000
soft,joint,0.01,150,6,0.07529855673862906,False,15,10000,1000
soft,joint,0.01,150,7,0.08355062775285038,False,15,10000,1000
soft,joint,0.01,150,8,0.09748498187203447,False,15,10000,1000
soft,joint,0.01,150,9,0.08298752012062027,False,15,10000,1000
soft,joint,0.01,150,10,0.0965984656585066,False,15,10000,1000
soft,joint,0.01,150,11,0.07807251220611366,False,15,10000,1000
soft,joint,0.01,150,12,0.09238599332403075,False,15,10000,1000
soft,joint,0.01,150,13,0.09252527507531405,False,15,10000,1000
soft,joint,0.01,150,14,0.08320313365572973,False,15,10000,1000
soft,joint,0.01,150,15,0.0676072473532805,False,15,10000,1000
soft,joint,0.025,25,1,0.049783966358389886,False,15,10000,1000
soft,joint,0.025,25,2,0.08963268525240764,False,15,10000,1000
soft,joint,0.025,25,3,0.05709160322754947,False,15,10000,1000
soft,joint,0.025,25,4,0.07708099049949868,False,15,10000,1000
soft,joint,0.025,25,5,0.07264751932244451,False,15,10000,1000
soft,joint,0.025,25,6,0.0884216884702933,False,15,10000,1000
soft,joint,0.025,25,7,0.09014677827259199,False,15,10000,1000
soft,joint,0.025,25,8,0.02788593890707669,False,15,10000,1000
soft,joint,0.025,25,9,0.0685662827840594,False,15,10000,1000
soft,joint,0.025,25,10,0.09157794068294178,False,15,10000,1000
soft,joint,0.025,25,11,0.0904678851963745,False,15,10000,1000
soft,joint,0.025,25,12,0.052311607499900825,False,15,10000,1000
soft,joint,0.025,25,13,0.09046995952446224,False,15,10000,1000
soft,joint,0.025,25,14,0.07250971163107867,False,15,10000,1000
soft,joint,0.025,25,15,0.047341664814719575,False,15,10000,1000
soft,joint,0.025,50,1,0.047059952224634216,False,15,10000,1000
soft,joint,0.025,50,2,0.09653439759151938,False,15,10000,1000
soft,joint,0.025,50,3,0.0931014314830263,False,15,10000,1000
soft,joint,0.025,50,4,0.07635668835777687,False,15,10000,1000
soft,joint,0.025,50,5,0.0834199188315552,False,15,10000,1000
soft,joint,0.025,50,6,0.07185884215805816,False,15,10000,1000
soft,joint,0.025,50,7,0.08319236479448189,False,15,10000,1000
soft,joint,0.025,50,8,0.09481354553028543,False,15,10000,1000
soft,joint,0.025,50,9,0.07246458363402408,False,15,10000,1000
soft,joint,0.025,50,10,0.08706553415925944,False,15,10000,1000
soft,joint,0.025,50,11,0.053618085856435904,False,15,10000,1000
soft,joint,0.025,50,12,0.07723219666992831,False,15,10000,1000
soft,joint,0.025,50,13,0.08761185487507284,False,15,10000,1000
soft,joint,0.025,50,14,0.08459169391065235,False,15,10000,1000
soft,joint,0.025,50,15,0.10252219780135818,False,15,10000,1000
soft,joint,0.025,75,1,0.07704991481814294,False,15,10000,1000
soft,joint,0.025,75,2,0.038247329020339116,False,15,10000,1000
soft,joint,0.025,75,3,0.09130386699354509,False,15,10000,1000
soft,joint,0.025,75,4,0.07631272054733951,False,15,10000,1000
soft,joint,0.025,75,5,0.0632972467011137,False,15,10000,1000
soft,joint,0.025,75,6,0.0727705780408252,False,15,10000,1000
soft,joint,0.025,75,7,0.08195136819107018,False,15,10000,1000
soft,joint,0.025,75,8,0.07023629509429807,False,15,10000,1000
soft,joint,0.025,75,9,0.060606015330803675,False,15,10000,1000
soft,joint,0.025,75,10,0.0903846881182011,False,15,10000,1000
