CBM_Type,Training_Mode,Alpha,k,Run,Leakage,Warning,num_sim,n,d
soft,joint,10.0,10,10,0.0020149369953468277,False,15,2000,700
soft,joint,10.0,10,11,0.0034060832787905504,False,15,2000,700
soft,joint,10.0,10,12,0.0069709830405728646,False,15,2000,700
soft,joint,10.0,10,13,0.003076612604468121,False,15,2000,700
soft,joint,10.0,10,14,0.00218143285573813,False,15,2000,700
soft,joint,10.0,10,15,0.001239448886480865,False,15,2000,700
soft,joint,10.0,20,1,0.0027982064080402935,False,15,2000,700
soft,joint,10.0,20,2,0.0009989430926526932,False,15,2000,700
soft,joint,10.0,20,3,0.0030096899577647385,False,15,2000,700
soft,joint,10.0,20,4,0.005280000795284012,False,15,2000,700
soft,joint,10.0,20,5,0.003022841477622773,False,15,2000,700
soft,joint,10.0,20,6,0.0007290863069759901,False,15,2000,700
soft,joint,10.0,20,7,0.005042615676004392,False,15,2000,700
soft,joint,10.0,20,8,0.0027411175911864483,False,15,2000,700
soft,joint,10.0,20,9,-0.003381520489346146,False,15,2000,700
soft,joint,10.0,20,10,0.003845431259901666,False,15,2000,700
soft,joint,10.0,20,11,0.015577355061312526,False,15,2000,700
soft,joint,10.0,20,12,0.010243676976853688,False,15,2000,700
soft,joint,10.0,20,13,0.005334299304982304,False,15,2000,700
soft,joint,10.0,20,14,0.00812610531025526,False,15,2000,700
soft,joint,10.0,20,15,0.003812602584210678,False,15,2000,700
soft,joint,10.0,50,1,0.012009948738711529,False,15,2000,700
soft,joint,10.0,50,2,0.008011946597279218,False,15,2000,700
soft,joint,10.0,50,3,0.004461534319970317,False,15,2000,700
soft,joint,10.0,50,4,0.009538358782456013,False,15,2000,700
soft,joint,10.0,50,5,0.0027180345031985187,False,15,2000,700
soft,joint,10.0,50,6,0.008836137003944478,False,15,2000,700
soft,joint,10.0,50,7,0.0007063703467071747,False,15,2000,700
soft,joint,10.0,50,8,0.005886099030626868,False,15,2000,700
soft,joint,10.0,50,9,0.00800788138311459,False,15,2000,700
soft,joint,10.0,50,10,0.0013308098781092959,False,15,2000,700
soft,joint,10.0,50,11,0.0033432667189272625,False,15,2000,700
soft,joint,10.0,50,12,0.0040534298952723535,False,15,2000,700
soft,joint,10.0,50,13,0.002107284840144219,False,15,2000,700
soft,joint,10.0,50,14,0.004002963000234505,False,15,2000,700
soft,joint,10.0,50,15,0.010148169032599741,False,15,2000,700
soft,joint,10.0,100,1,0.009456107014349957,False,15,2000,700
soft,joint,10.0,100,2,0.0037990842084301146,False,15,2000,700
soft,joint,10.0,100,3,0.0071179946617201395,False,15,2000,700
soft,joint,10.0,100,4,0.00040173763333983814,False,15,2000,700
soft,joint,10.0,100,5,0.005106693903669912,False,15,2000,700
soft,joint,10.0,100,6,0.003330404499343631,False,15,2000,700
soft,joint,10.0,100,7,0.00744351940298138,False,15,2000,700
soft,joint,10.0,100,8,0.006888088617495569,False,15,2000,700
soft,joint,10.0,100,9,-0.0001229544491618828,False,15,2000,700
soft,joint,10.0,100,10,0.0064945109610112794,False,15,2000,700
soft,joint,10.0,100,11,0.006160001723441111,False,15,2000,700
soft,joint,10.0,100,12,-0.0031401548017593317,False,15,2000,700
soft,joint,10.0,100,13,0.013257513088858586,False,15,2000,700
soft,joint,10.0,100,14,0.0035831896974112265,False,15,2000,700
soft,joint,10.0,100,15,0.015367507434927097,False,15,2000,700
soft,joint,10.0,200,1,0.006984335297965716,False,15,2000,700
soft,joint,10.0,200,2,0.005091662192755031,False,15,2000,700
soft,joint,10.0,200,3,0.011482095361145195,False,15,2000,700
soft,joint,10.0,200,4,0.014866211593893786,False,15,2000,700
soft,joint,10.0,200,5,0.007780879587979905,False,15,2000,700
soft,joint,10.0,200,6,0.010700658480900627,False,15,2000,700
soft,joint,10.0,200,7,0.007131964302257154,False,15,2000,700
soft,joint,10.0,200,8,0.0020333746027365596,False,15,2000,700
soft,joint,10.0,200,9,0.004069064541712075,False,15,2000,700
soft,joint,10.0,200,10,0.013499254366302837,False,15,2000,700
soft,joint,10.0,200,11,0.013539061698102817,False,15,2000,700
soft,joint,10.0,200,12,0.005385204758680429,False,15,2000,700
soft,joint,10.0,200,13,0.009717294789453268,False,15,2000,700
soft,joint,10.0,200,14,0.0013985217149397045,False,15,2000,700
soft,joint,10.0,200,15,0.012535831305040546,False,15,2000,700
soft,joint,20.0,10,1,-0.003198068829970202,False,15,2000,700
soft,joint,20.0,10,2,0.008137753536708425,False,15,2000,700
soft,joint,20.0,10,3,0.0014824196048115468,False,15,2000,700
soft,joint,20.0,10,4,0.0010506484628924895,False,15,2000,700
soft,joint,20.0,10,5,0.003317611231510753,False,15,2000,700
soft,joint,20.0,10,6,0.0063314681997497235,False,15,2000,700
soft,joint,20.0,10,7,0.004988005167392062,False,15,2000,700
soft,joint,20.0,10,8,0.0011610039436686925,False,15,2000,700
soft,joint,20.0,10,9,0.0028097100040826994,False,15,2000,700
soft,joint,20.0,10,10,-0.0003244713950412148,False,15,2000,700
soft,joint,20.0,10,11,0.006104416722290118,False,15,2000,700
soft,joint,20.0,10,12,0.0035354804470395518,False,15,2000,700
soft,joint,20.0,10,13,0.0013228875160082865,False,15,2000,700
