CBM_Type,Training_Mode,Alpha,k,num_sim,n,d,Leakage
autoregressive,joint,,10,15,2000,700,0.00010408293553865929
autoregressive,joint,,20,15,2000,700,0.0018064819049154579
autoregressive,joint,,50,15,2000,700,0.003443254627824081
autoregressive,joint,,100,15,2000,700,0.002828833608970231
autoregressive,joint,,200,15,2000,700,0.003426765863117624
embedding,joint,,10,15,2000,700,0.0022262032531184714
embedding,joint,,20,15,2000,700,0.004632754144864926
embedding,joint,,50,15,2000,700,0.005204617829742508
embedding,joint,,100,15,2000,700,0.005699327271353279
embedding,joint,,200,15,2000,700,0.009113732383167268
hard,independent,,10,15,2000,700,0.003788305785953409
hard,independent,,20,15,2000,700,0.003208560562316383
hard,independent,,50,15,2000,700,0.005014124244410241
hard,independent,,100,15,2000,700,0.0070103456497133156
hard,independent,,200,15,2000,700,0.00934643835603488
hard,joint,,10,15,2000,700,0.003347785530653787
hard,joint,,20,15,2000,700,0.004485106948534412
hard,joint,,50,15,2000,700,0.005336113285577844
hard,joint,,100,15,2000,700,0.006429318768286777
hard,joint,,200,15,2000,700,0.009139693070826205
hard,sequential,,10,15,2000,700,0.002126895562283145
hard,sequential,,20,15,2000,700,0.004404097837057582
hard,sequential,,50,15,2000,700,0.004456959780999788
hard,sequential,,100,15,2000,700,0.004633762254569381
hard,sequential,,200,15,2000,700,0.008420109009664827
soft,independent,,10,15,2000,700,0.002730076870494153
soft,independent,,20,15,2000,700,0.004395271402821425
soft,independent,,50,15,2000,700,0.005155550881894546
soft,independent,,100,15,2000,700,0.0057508541172802685
soft,independent,,200,15,2000,700,0.008506211875095095
soft,joint,1.0,10,15,2000,700,0.003087148627926295
soft,joint,1.0,20,15,2000,700,0.005172997576470954
soft,joint,1.0,50,15,2000,700,0.005295968792798226
soft,joint,1.0,100,15,2000,700,0.004835173884916596
soft,joint,1.0,200,15,2000,700,0.0079280744582785
soft,joint,10.0,10,15,2000,700,0.0028275723133038316
soft,joint,10.0,20,15,2000,700,0.004478696754246754
soft,joint,10.0,50,15,2000,700,0.005677482271419739
soft,joint,10.0,100,15,2000,700,0.005676216239737242
soft,joint,10.0,200,15,2000,700,0.008414360972924377
soft,joint,20.0,10,15,2000,700,0.0031092874063388455
soft,joint,20.0,20,15,2000,700,0.004172502116163513
soft,joint,20.0,50,15,2000,700,0.004667676563279999
soft,joint,20.0,100,15,2000,700,0.005348579738541245
soft,joint,20.0,200,15,2000,700,0.008932358851361217
soft,joint,50.0,10,15,2000,700,0.0028390616915980587
soft,joint,50.0,20,15,2000,700,0.005023257365074777
soft,joint,50.0,50,15,2000,700,0.005172016953669031
soft,joint,50.0,100,15,2000,700,0.005775393992853036
soft,joint,50.0,200,15,2000,700,0.008613091316338427
soft,joint,100.0,10,15,2000,700,0.003872681988296526
soft,joint,100.0,20,15,2000,700,0.003340252812195121
soft,joint,100.0,50,15,2000,700,0.005625146276651568
soft,joint,100.0,100,15,2000,700,0.006113000780694004
soft,joint,100.0,200,15,2000,700,0.009413502081555261
soft,joint,200.0,10,15,2000,700,0.002473633753810637
soft,joint,200.0,20,15,2000,700,0.003134197782175896
soft,joint,200.0,50,15,2000,700,0.0053221790051005986
soft,joint,200.0,100,15,2000,700,0.005677398713758933
soft,joint,200.0,200,15,2000,700,0.008571404648722887
soft,sequential,,10,15,2000,700,0.00244410688712438
soft,sequential,,20,15,2000,700,0.0045364562947329675
soft,sequential,,50,15,2000,700,0.005009142392061368
soft,sequential,,100,15,2000,700,0.005546970856412245
soft,sequential,,200,15,2000,700,0.00888356080705092
